Model,Accuracy
KMeans Clustering,0.5833333333333334
Agglomerative Clustering,0.48541666666666666
Naive Bayes,0.7604166666666666
Naive Bayes + KMeans Clustering,0.6666666666666666
Decision Tree,0.7604166666666666
